id,login,pass,surname,name,role
1000,Smirnov_1000,202CB962AC59075B964B07152D234B70,Смирнов,Авдей,trainer
1001,Ivanov_1001,202CB962AC59075B964B07152D234B70,Иванов,Авксентий,player
1002,Kuznecov_1002,202CB962AC59075B964B07152D234B70,Кузнецов,Агафон,player
1003,Sokolov_1003,202CB962AC59075B964B07152D234B70,Соколов,Акакий,player
1004,Popov_1004,202CB962AC59075B964B07152D234B70,Попов,Александр,player
1005,Lebedev_1005,202CB962AC59075B964B07152D234B70,Лебедев,Алексей,player
1006,Kozlov_1006,202CB962AC59075B964B07152D234B70,Козлов,Альберт,player
1007,Novikov_1007,202CB962AC59075B964B07152D234B70,Новиков,Альвиан,player
1008,Morozov_1008,202CB962AC59075B964B07152D234B70,Морозов,Анатолий,player
1009,Petrov_1009,202CB962AC59075B964B07152D234B70,Петров,Андрей,player
1010,Volkov_1010,202CB962AC59075B964B07152D234B70,Волков,Аникита,player
1011,Solovev_1011,202CB962AC59075B964B07152D234B70,Соловьёв,Антон,player
1012,Vasilev_1012,202CB962AC59075B964B07152D234B70,Васильев,Антонин,player
1013,Zaicev_1013,202CB962AC59075B964B07152D234B70,Зайцев,Анфим,player
1014,Pavlov_1014,202CB962AC59075B964B07152D234B70,Павлов,Аристарх,player
1015,Semenov_1015,202CB962AC59075B964B07152D234B70,Семёнов,Аркадий,player
1016,Golubev_1016,202CB962AC59075B964B07152D234B70,Голубев,Арсений,player
1017,Vinogradov_1017,202CB962AC59075B964B07152D234B70,Виноградов,Артём,player
1018,Bogdanov_1018,202CB962AC59075B964B07152D234B70,Богданов,Артемий,player
1019,Vorobev_1019,202CB962AC59075B964B07152D234B70,Воробьёв,Артур,player
1020,Fedorov_1020,202CB962AC59075B964B07152D234B70,Фёдоров,Архипп,player
1021,Mihailov_1021,202CB962AC59075B964B07152D234B70,Михайлов,Афанасий,player
1022,Belyaev_1022,202CB962AC59075B964B07152D234B70,Беляев,Савва,player
1023,Tarasov_1023,202CB962AC59075B964B07152D234B70,Тарасов,Савелий,player
1024,Belov_1024,202CB962AC59075B964B07152D234B70,Белов,Самуил,player
1025,Komarov_1025,202CB962AC59075B964B07152D234B70,Комаров,Святополк,player
1026,Orlov_1026,202CB962AC59075B964B07152D234B70,Орлов,Святослав,player
1027,Kiselev_1027,202CB962AC59075B964B07152D234B70,Киселёв,Севастьян,player
1028,Makarov_1028,202CB962AC59075B964B07152D234B70,Макаров,Семён,player
1029,Andreev_1029,202CB962AC59075B964B07152D234B70,Андреев,Серафим,player
1030,Kovalev_1030,202CB962AC59075B964B07152D234B70,Ковалёв,Сергей,player
1031,Ilin_1031,202CB962AC59075B964B07152D234B70,Ильин,Сила,player
1032,Gusev_1032,202CB962AC59075B964B07152D234B70,Гусев,Сильвестр,player
1033,Titov_1033,202CB962AC59075B964B07152D234B70,Титов,Созон,player
1034,Kuzmin_1034,202CB962AC59075B964B07152D234B70,Кузьмин,Софрон,player
1035,Kudryavcev_1035,202CB962AC59075B964B07152D234B70,Кудрявцев,Спиридон,player
1036,Baranov_1036,202CB962AC59075B964B07152D234B70,Баранов,Станислав,player
1037,Kulikov_1037,202CB962AC59075B964B07152D234B70,Куликов,Степан,player
1038,Alekseev_1038,202CB962AC59075B964B07152D234B70,Алексеев,Вавила,player
1039,Stepanov_1039,202CB962AC59075B964B07152D234B70,Степанов,Вадим,player
1040,YAkovlev_1040,202CB962AC59075B964B07152D234B70,Яковлев,Валентин,player
1041,Sorokin_1041,202CB962AC59075B964B07152D234B70,Сорокин,Валерий,player
1042,Sergeev_1042,202CB962AC59075B964B07152D234B70,Сергеев,Валерьян,player
1043,Romanov_1043,202CB962AC59075B964B07152D234B70,Романов,Варлам,player
1044,Zaharov_1044,202CB962AC59075B964B07152D234B70,Захаров,Варсонофий,player
1045,Borisov_1045,202CB962AC59075B964B07152D234B70,Борисов,Варфоломей,player
1046,Korolev_1046,202CB962AC59075B964B07152D234B70,Королёв,Василий,player
1047,Gerasimov_1047,202CB962AC59075B964B07152D234B70,Герасимов,Венедикт,player
1048,Ponomarev_1048,202CB962AC59075B964B07152D234B70,Пономарёв,Вениамин,player
1049,Grigorev_1049,202CB962AC59075B964B07152D234B70,Григорьев,Викентий,player
1050,Lazarev_1050,202CB962AC59075B964B07152D234B70,Лазарев,Виктор,player
1051,Medvedev_1051,202CB962AC59075B964B07152D234B70,Медведев,Виссарион,player
1052,Ershov_1052,202CB962AC59075B964B07152D234B70,Ершов,Виталий,player
1053,Nikitin_1053,202CB962AC59075B964B07152D234B70,Никитин,Владимир,player
1054,Sobolev_1054,202CB962AC59075B964B07152D234B70,Соболев,Владислав,player
1055,Ryabov_1055,202CB962AC59075B964B07152D234B70,Рябов,Владлен,player
1056,Polyakov_1056,202CB962AC59075B964B07152D234B70,Поляков,Влас,player
1057,Cvetkov_1057,202CB962AC59075B964B07152D234B70,Цветков,Всеволод,player
1058,Danilov_1058,202CB962AC59075B964B07152D234B70,Данилов,Вячеслав,player
1059,ZHukov_1059,202CB962AC59075B964B07152D234B70,Жуков,Магистриан,player
1060,Frolov_1060,202CB962AC59075B964B07152D234B70,Фролов,Макар,player
1061,ZHuravlev_1061,202CB962AC59075B964B07152D234B70,Журавлёв,Максим,player
1062,Nikolaev_1062,202CB962AC59075B964B07152D234B70,Николаев,Марк,player
1063,Krilov_1063,202CB962AC59075B964B07152D234B70,Крылов,Мартын,player
1064,Maksimov_1064,202CB962AC59075B964B07152D234B70,Максимов,Матвей,player
1065,Sidorov_1065,202CB962AC59075B964B07152D234B70,Сидоров,Мелентий,player
1066,Osipov_1066,202CB962AC59075B964B07152D234B70,Осипов,Мина,player
1067,Belousov_1067,202CB962AC59075B964B07152D234B70,Белоусов,Мирон,player
1068,Fedotov_1068,202CB962AC59075B964B07152D234B70,Федотов,Мирослав,player
1069,Dorofeev_1069,202CB962AC59075B964B07152D234B70,Дорофеев,Митрофан,player
1070,Egorov_1070,202CB962AC59075B964B07152D234B70,Егоров,Михаил,player
1071,Matveev_1071,202CB962AC59075B964B07152D234B70,Матвеев,Мстислав,player
1072,Bobrov_1072,202CB962AC59075B964B07152D234B70,Бобров,Фаддей,player
1073,Dmitriev_1073,202CB962AC59075B964B07152D234B70,Дмитриев,Фёдор,player
1074,Kalinin_1074,202CB962AC59075B964B07152D234B70,Калинин,Федосей,player
1075,Anisimov_1075,202CB962AC59075B964B07152D234B70,Анисимов,Федот,player
1076,Petuhov_1076,202CB962AC59075B964B07152D234B70,Петухов,Феликс,player
1077,Antonov_1077,202CB962AC59075B964B07152D234B70,Антонов,Феоктист,player
1078,Timofeev_1078,202CB962AC59075B964B07152D234B70,Тимофеев,Филат,player
1079,Nikiforov_1079,202CB962AC59075B964B07152D234B70,Никифоров,Филимон,player
1080,Veselov_1080,202CB962AC59075B964B07152D234B70,Веселов,Филипп,player
1081,Filippov_1081,202CB962AC59075B964B07152D234B70,Филиппов,Фирс,player
1082,Markov_1082,202CB962AC59075B964B07152D234B70,Марков,Фока,player
1083,Bolshakov_1083,202CB962AC59075B964B07152D234B70,Большаков,Фома,player
1084,Suhanov_1084,202CB962AC59075B964B07152D234B70,Суханов,Фотий,player
1085,Mironov_1085,202CB962AC59075B964B07152D234B70,Миронов,Фрол,player
1086,SHiryaev_1086,202CB962AC59075B964B07152D234B70,Ширяев,Паисий,player
1087,Aleksandrov_1087,202CB962AC59075B964B07152D234B70,Александров,Панкратий,player
1088,Konovalov_1088,202CB962AC59075B964B07152D234B70,Коновалов,Пантелеймон,player
1089,SHestakov_1089,202CB962AC59075B964B07152D234B70,Шестаков,Парфений,player
1090,Kazakov_1090,202CB962AC59075B964B07152D234B70,Казаков,Пафнутий,player
1091,Efimov_1091,202CB962AC59075B964B07152D234B70,Ефимов,Пахомий,player
1092,Denisov_1092,202CB962AC59075B964B07152D234B70,Денисов,Пётр,player
1093,Gromov_1093,202CB962AC59075B964B07152D234B70,Громов,Платон,player
1094,Fomin_1094,202CB962AC59075B964B07152D234B70,Фомин,Поликарп,player
1095,Davidov_1095,202CB962AC59075B964B07152D234B70,Давыдов,Порфирий,player
1096,Melnikov_1096,202CB962AC59075B964B07152D234B70,Мельников,Потап,player
1097,SH'erbakov_1097,202CB962AC59075B964B07152D234B70,Щербаков,Пров,player
1098,Blinov_1098,202CB962AC59075B964B07152D234B70,Блинов,Прокопий,player
1099,Kolesnikov_1099,202CB962AC59075B964B07152D234B70,Колесников,Протасий,player
1100,Karpov_1100,202CB962AC59075B964B07152D234B70,Карпов,Прохор,player
1101,Afanasev_1101,202CB962AC59075B964B07152D234B70,Афанасьев,Иакинф,player
1102,Vlasov_1102,202CB962AC59075B964B07152D234B70,Власов,Иван,player
1103,Maslov_1103,202CB962AC59075B964B07152D234B70,Маслов,Игнатий,player
1104,Isakov_1104,202CB962AC59075B964B07152D234B70,Исаков,Игорь,player
1105,Tihonov_1105,202CB962AC59075B964B07152D234B70,Тихонов,Илья,player
1106,Aksenov_1106,202CB962AC59075B964B07152D234B70,Аксёнов,Иннокентий,player
1107,Gavrilov_1107,202CB962AC59075B964B07152D234B70,Гаврилов,Ираклий,player
1108,Rodionov_1108,202CB962AC59075B964B07152D234B70,Родионов,Ириней,player
1109,Kotov_1109,202CB962AC59075B964B07152D234B70,Котов,Исидор,player
1110,Gorbunov_1110,202CB962AC59075B964B07152D234B70,Горбунов,Иуда,player
1111,Kudryashov_1111,202CB962AC59075B964B07152D234B70,Кудряшов,Иулиан,player
1112,Bikov_1112,202CB962AC59075B964B07152D234B70,Быков,Савва,player
1113,Zuev_1113,202CB962AC59075B964B07152D234B70,Зуев,Савелий,player
1114,Tretyakov_1114,202CB962AC59075B964B07152D234B70,Третьяков,Самуил,player
1115,Savelev_1115,202CB962AC59075B964B07152D234B70,Савельев,Святополк,player
1116,Panov_1116,202CB962AC59075B964B07152D234B70,Панов,Святослав,player
1117,Ribakov_1117,202CB962AC59075B964B07152D234B70,Рыбаков,Севастьян,player
1118,Suvorov_1118,202CB962AC59075B964B07152D234B70,Суворов,Семён,player
1119,Abramov_1119,202CB962AC59075B964B07152D234B70,Абрамов,Серафим,player
1120,Voronov_1120,202CB962AC59075B964B07152D234B70,Воронов,Сергей,player
1121,Muhin_1121,202CB962AC59075B964B07152D234B70,Мухин,Сила,player
1122,Arhipov_1122,202CB962AC59075B964B07152D234B70,Архипов,Сильвестр,player
1123,Trofimov_1123,202CB962AC59075B964B07152D234B70,Трофимов,Созон,player
1124,Martinov_1124,202CB962AC59075B964B07152D234B70,Мартынов,Софрон,player
1125,Emelyanov_1125,202CB962AC59075B964B07152D234B70,Емельянов,Спиридон,player
1126,Gorshkov_1126,202CB962AC59075B964B07152D234B70,Горшков,Станислав,player
1127,CHernov_1127,202CB962AC59075B964B07152D234B70,Чернов,Степан,player
1128,Ovchinnikov_1128,202CB962AC59075B964B07152D234B70,Овчинников,Тарас,player
1129,Seleznev_1129,202CB962AC59075B964B07152D234B70,Селезнёв,Тимофей,player
1130,Panfilov_1130,202CB962AC59075B964B07152D234B70,Панфилов,Тимур,player
1131,Kopilov_1131,202CB962AC59075B964B07152D234B70,Копылов,Тит,player
1132,Miheev_1132,202CB962AC59075B964B07152D234B70,Михеев,Тихон,player
1133,Galkin_1133,202CB962AC59075B964B07152D234B70,Галкин,Трифон,player
1134,Nazarov_1134,202CB962AC59075B964B07152D234B70,Назаров,Трофим,player
1135,Lobanov_1135,202CB962AC59075B964B07152D234B70,Лобанов,Лаврентий,player
1136,Lukin_1136,202CB962AC59075B964B07152D234B70,Лукин,Лев,player
1137,Belyakov_1137,202CB962AC59075B964B07152D234B70,Беляков,Леонид,player
1138,Potapov_1138,202CB962AC59075B964B07152D234B70,Потапов,Леонтий,player
1139,Nekrasov_1139,202CB962AC59075B964B07152D234B70,Некрасов,Логгин,player
1140,Hohlov_1140,202CB962AC59075B964B07152D234B70,Хохлов,Лука,player
1141,ZHdanov_1141,202CB962AC59075B964B07152D234B70,Жданов,Лукий,player
1142,Naumov_1142,202CB962AC59075B964B07152D234B70,Наумов,Лукьян,player
1143,SHilov_1143,202CB962AC59075B964B07152D234B70,Шилов,Данакт,player
1144,Voroncov_1144,202CB962AC59075B964B07152D234B70,Воронцов,Даниил,player
1145,Ermakov_1145,202CB962AC59075B964B07152D234B70,Ермаков,Демид,player
1146,Drozdov_1146,202CB962AC59075B964B07152D234B70,Дроздов,Демьян,player
1147,Ignatev_1147,202CB962AC59075B964B07152D234B70,Игнатьев,Денис,player
1148,Savin_1148,202CB962AC59075B964B07152D234B70,Савин,Дмитрий,player
1149,Loginov_1149,202CB962AC59075B964B07152D234B70,Логинов,Добрыня,player
1150,Safonov_1150,202CB962AC59075B964B07152D234B70,Сафонов,Донат,player
1151,Kapustin_1151,202CB962AC59075B964B07152D234B70,Капустин,Дорофей,player
1152,Kirillov_1152,202CB962AC59075B964B07152D234B70,Кириллов,Гавриил,player
1153,Moiseev_1153,202CB962AC59075B964B07152D234B70,Моисеев,Галактион,player
1154,Eliseev_1154,202CB962AC59075B964B07152D234B70,Елисеев,Геласий,player
1155,Koshelev_1155,202CB962AC59075B964B07152D234B70,Кошелев,Геннадий,player
1156,Kostin_1156,202CB962AC59075B964B07152D234B70,Костин,Георгий,player
1157,Gorbachev_1157,202CB962AC59075B964B07152D234B70,Горбачёв,Герасим,player
1158,Orehov_1158,202CB962AC59075B964B07152D234B70,Орехов,Герман,player
1159,Efremov_1159,202CB962AC59075B964B07152D234B70,Ефремов,Германн,player
1160,Isaev_1160,202CB962AC59075B964B07152D234B70,Исаев,Глеб,player
1161,Evdokimov_1161,202CB962AC59075B964B07152D234B70,Евдокимов,Гордей,player
1162,Kalashnikov_1162,202CB962AC59075B964B07152D234B70,Калашников,Григорий,player
1163,Kabanov_1163,202CB962AC59075B964B07152D234B70,Кабанов,Разумник,player
1164,Noskov_1164,202CB962AC59075B964B07152D234B70,Носков,Родион,player
1165,YUdin_1165,202CB962AC59075B964B07152D234B70,Юдин,Родослав,player
1166,Kulagin_1166,202CB962AC59075B964B07152D234B70,Кулагин,Роман,player
1167,Lapin_1167,202CB962AC59075B964B07152D234B70,Лапин,Ростислав,player
1168,Prohorov_1168,202CB962AC59075B964B07152D234B70,Прохоров,Руслан,player
1169,Nesterov_1169,202CB962AC59075B964B07152D234B70,Нестеров,Олег,player
1170,Haritonov_1170,202CB962AC59075B964B07152D234B70,Харитонов,Онисим,player
1171,Agafonov_1171,202CB962AC59075B964B07152D234B70,Агафонов,Онуфрий,player
1172,Muravev_1172,202CB962AC59075B964B07152D234B70,Муравьёв,Эдуард,player
1173,Larionov_1173,202CB962AC59075B964B07152D234B70,Ларионов,Эраст,player
1174,Fedoseev_1174,202CB962AC59075B964B07152D234B70,Федосеев,Юлиан,player
1175,Zimin_1175,202CB962AC59075B964B07152D234B70,Зимин,Юрий,player
1176,Pahomov_1176,202CB962AC59075B964B07152D234B70,Пахомов,Иакинф,player
1177,SHubin_1177,202CB962AC59075B964B07152D234B70,Шубин,Иван,player
1178,Ignatov_1178,202CB962AC59075B964B07152D234B70,Игнатов,Игнатий,player
1179,Filatov_1179,202CB962AC59075B964B07152D234B70,Филатов,Игорь,player
1180,Kryukov_1180,202CB962AC59075B964B07152D234B70,Крюков,Илья,player
1181,Rogov_1181,202CB962AC59075B964B07152D234B70,Рогов,Иннокентий,player
1182,Kulakov_1182,202CB962AC59075B964B07152D234B70,Кулаков,Ираклий,player
1183,Terentev_1183,202CB962AC59075B964B07152D234B70,Терентьев,Ириней,player
1184,Molchanov_1184,202CB962AC59075B964B07152D234B70,Молчанов,Исидор,player
1185,Vladimirov_1185,202CB962AC59075B964B07152D234B70,Владимиров,Иуда,player
1186,Artemev_1186,202CB962AC59075B964B07152D234B70,Артемьев,Иулиан,player
1187,Gurev_1187,202CB962AC59075B964B07152D234B70,Гурьев,Евгений,player
1188,Zinovev_1188,202CB962AC59075B964B07152D234B70,Зиновьев,Евграф,player
1189,Grishin_1189,202CB962AC59075B964B07152D234B70,Гришин,Евдоким,player
1190,Kononov_1190,202CB962AC59075B964B07152D234B70,Кононов,Евсей,player
1191,Dementev_1191,202CB962AC59075B964B07152D234B70,Дементьев,Богдан,player
1192,Sitnikov_1192,202CB962AC59075B964B07152D234B70,Ситников,Борис,player
1193,Simonov_1193,202CB962AC59075B964B07152D234B70,Симонов,Габриель,player
1194,Mishin_1194,202CB962AC59075B964B07152D234B70,Мишин,Георгий,player
1195,Fadeev_1195,202CB962AC59075B964B07152D234B70,Фадеев,Гордон,player
1196,Komissarov_1196,202CB962AC59075B964B07152D234B70,Комиссаров,Гавриил,player
1197,Mamontov_1197,202CB962AC59075B964B07152D234B70,Мамонтов,Георгий,player
1198,Nosov_1198,202CB962AC59075B964B07152D234B70,Носов,Егор,player
1199,Gulyaev_1199,202CB962AC59075B964B07152D234B70,Гуляев,Горислав,player
1200,SHarov_1200,202CB962AC59075B964B07152D234B70,Шаров,Галактион,player
1201,Ustinov_1201,202CB962AC59075B964B07152D234B70,Устинов,Геракл,player
1202,Vishnyakov_1202,202CB962AC59075B964B07152D234B70,Вишняков,Градимир,player
1203,Evseev_1203,202CB962AC59075B964B07152D234B70,Евсеев,Гарри,player
1204,Lavrentev_1204,202CB962AC59075B964B07152D234B70,Лаврентьев,Геральд,player
